crossover,mutation,random,copy,parent_selection,should_prune,last_gen
0.75,0.1,0.1,0.05,0.1,True,362
0.75,0.1,0.1,0.05,0.1,True,500
0.75,0.1,0.1,0.05,0.1,True,7
0.75,0.1,0.1,0.05,0.1,True,500
0.75,0.1,0.1,0.05,0.1,True,184
0.1,0.75,0.1,0.05,0.1,True,77
0.1,0.75,0.1,0.05,0.1,True,4
0.1,0.75,0.1,0.05,0.1,True,210
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,4
0.1,0.75,0.1,0.05,0.1,True,46
0.1,0.75,0.1,0.05,0.1,True,34
0.1,0.75,0.1,0.05,0.1,True,15
0.1,0.75,0.1,0.05,0.1,True,9
0.1,0.75,0.1,0.05,0.1,True,267
0.1,0.75,0.1,0.05,0.1,True,58
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,137
0.1,0.75,0.1,0.05,0.1,True,359
0.1,0.75,0.1,0.05,0.1,True,304
0.1,0.75,0.1,0.05,0.1,True,69
0.1,0.75,0.1,0.05,0.1,True,4
0.1,0.75,0.1,0.05,0.1,True,51
0.1,0.75,0.1,0.05,0.1,True,88
0.1,0.75,0.1,0.05,0.1,True,22
0.45,0.45,0.05,0.05,0.1,True,427
0.45,0.45,0.05,0.05,0.1,True,20
0.45,0.45,0.05,0.05,0.1,True,471
0.45,0.45,0.05,0.05,0.1,True,2
0.45,0.45,0.05,0.05,0.1,True,111
0.45,0.45,0.05,0.05,0.1,True,5
0.45,0.45,0.05,0.05,0.1,True,295
0.45,0.45,0.05,0.05,0.1,True,4
0.45,0.45,0.05,0.05,0.1,True,32
0.45,0.45,0.05,0.05,0.1,True,63
0.45,0.45,0.05,0.05,0.1,True,288
0.45,0.45,0.05,0.05,0.1,True,272
0.45,0.45,0.05,0.05,0.1,True,500
0.45,0.45,0.05,0.05,0.1,True,112
0.45,0.45,0.05,0.05,0.1,True,153
0.45,0.45,0.05,0.05,0.1,True,52
0.45,0.45,0.05,0.05,0.1,True,4
0.45,0.45,0.05,0.05,0.1,True,43
0.45,0.45,0.05,0.05,0.1,True,156
0.45,0.45,0.05,0.05,0.1,True,395
0.75,0.1,0.1,0.05,0.2,True,406
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,257
0.75,0.1,0.1,0.05,0.2,True,162
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,3
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,261
0.75,0.1,0.1,0.05,0.2,True,248
0.75,0.1,0.1,0.05,0.2,True,493
0.75,0.1,0.1,0.05,0.2,True,293
0.75,0.1,0.1,0.05,0.2,True,6
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,4
0.75,0.1,0.1,0.05,0.2,True,108
0.75,0.1,0.1,0.05,0.2,True,149
0.75,0.1,0.1,0.05,0.2,True,9
0.75,0.1,0.1,0.05,0.2,True,476
0.75,0.1,0.1,0.05,0.2,True,372
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,4
0.1,0.75,0.1,0.05,0.2,True,6
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,4
0.1,0.75,0.1,0.05,0.2,True,3
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,4
