crossover,mutation,random,copy,parent_selection,should_prune,last_gen
0.75,0.1,0.1,0.05,0.1,True,500
0.75,0.1,0.1,0.05,0.1,True,500
0.75,0.1,0.1,0.05,0.1,True,500
0.75,0.1,0.1,0.05,0.1,True,500
0.75,0.1,0.1,0.05,0.1,True,500
0.75,0.1,0.1,0.05,0.1,True,500
0.75,0.1,0.1,0.05,0.1,True,500
0.75,0.1,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,57
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,450
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,500
0.1,0.75,0.1,0.05,0.1,True,500
0.45,0.45,0.05,0.05,0.1,True,500
0.45,0.45,0.05,0.05,0.1,True,500
0.45,0.45,0.05,0.05,0.1,True,500
0.45,0.45,0.05,0.05,0.1,True,20
0.45,0.45,0.05,0.05,0.1,True,122
0.45,0.45,0.05,0.05,0.1,True,500
0.45,0.45,0.05,0.05,0.1,True,500
0.45,0.45,0.05,0.05,0.1,True,500
0.45,0.45,0.05,0.05,0.1,True,500
0.45,0.45,0.05,0.05,0.1,True,427
0.45,0.45,0.05,0.05,0.1,True,500
0.45,0.45,0.05,0.05,0.1,True,500
0.45,0.45,0.05,0.05,0.1,True,500
0.45,0.45,0.05,0.05,0.1,True,500
0.45,0.45,0.05,0.05,0.1,True,500
0.45,0.45,0.05,0.05,0.1,True,50
0.45,0.45,0.05,0.05,0.1,True,500
0.45,0.45,0.05,0.05,0.1,True,144
0.45,0.45,0.05,0.05,0.1,True,500
0.45,0.45,0.05,0.05,0.1,True,500
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,19
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,57
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,500
